time	ymintpow	YQ_i_AKNP_chan_11	YQ_i_AKNP_chan_12	YQ_i_AKNP_chan_13	YQ_W_AKNP_11	YQ_AKPM_WT_11	offset_svrk	offset_akpm
138000.296875	99.7711181640625	2668068096.0	2983857920.0	1398549312.0	99.17587280273438	93.2275161743164	2.531892776489258	-30.4339200258255
138600.296875	99.77094268798828	2667795456.0	2983822592.0	1398797056.0	99.17315673828125	93.2253189086914	2.5478293895721436	-30.42440116405487
139200.296875	99.77100372314453	2667460096.0	2983791104.0	1399129472.0	99.17007446289062	93.22277069091797	2.5630507469177246	-30.412325263023376
139800.296875	99.7709732055664	2667096576.0	2983723264.0	1399390656.0	99.16578674316406	93.2198715209961	2.580925464630127	-30.40046989917755
140400.296875	99.7709732055664	2666739712.0	2983708928.0	1399794752.0	99.16299438476562	93.21585083007812	2.6013312339782715	-30.38698136806488
141000.296875	99.77083587646484	2666280192.0	2983642112.0	1400171072.0	99.15802001953125	93.21321868896484	2.6175341606140137	-30.371364951133728
141600.296875	99.77092742919922	2665905408.0	2983589888.0	1400479744.0	99.15396881103516	93.20853424072266	2.636667490005493	-30.358600616455078
142200.296875	99.77092742919922	2665516800.0	2983579136.0	1400924160.0	99.15097045898438	93.20472717285156	2.6575875282287598	-30.34379482269287
142800.296875	99.77092742919922	2665043712.0	2983519232.0	1401331840.0	99.14604187011719	93.201904296875	2.6843719482421875	-30.327463150024414
143400.296875	99.77108764648438	2664484608.0	2983484928.0	1401912000.0	99.14115142822266	93.1972885131836	2.7081143856048584	-30.30688464641571
144000.296875	99.77104187011719	2663960576.0	2983431680.0	1402392256.0	99.1359634399414	93.19268035888672	2.728803873062134	-30.288395285606384
144600.296875	99.7711181640625	2663481856.0	2983374336.0	1402810240.0	99.13102722167969	93.18779754638672	2.7552073001861572	-30.271771550178528
145200.296875	99.77091979980469	2662943744.0	2983357696.0	1403410112.0	99.12671661376953	93.18315887451172	2.776704788208008	-30.251416563987732
145800.296875	99.77103424072266	2662449664.0	2983296512.0	1403827200.0	99.1214828491211	93.17911529541016	2.810147762298584	-30.234402418136597
146400.296875	99.77104187011719	2661777408.0	2983282944.0	1404597760.0	99.11630249023438	93.17418670654297	2.8372790813446045	-30.208706855773926
147000.296875	99.7709732055664	2661170688.0	2983218432.0	1405137600.0	99.11014556884766	93.16931915283203	2.865715742111206	-30.187442898750305
